stcty,reg,div,stname,ctyname,time,popestimate,popest_nonhisp,popest_hisp,whitea_tot,whitea_nonhisp,whitea_hisp,blacka_tot,blacka_nonhisp,blacka_hisp,aiana_tot,aiana_nonhisp,aiana_hisp,asiaa_tot,asiaa_nonhisp,asiaa_hisp,nhpia_tot,nhpia_nonhisp,nhpia_hisp,twoplus_tot,twoplus_nonhisp,twoplus_hisp
26001,2,3,Michigan,Alcona County,1,11719,11638,81,11500,11425,75,22,22,0,74,72,2,21,19,2,1,1,0,101,99,2
26003,2,3,Michigan,Alger County,1,9862,9763,99,8703,8644,59,605,596,9,331,306,25,34,32,2,4,3,1,185,182,3
26005,2,3,Michigan,Allegan County,1,105665,99625,6040,102028,96332,5696,1448,1326,122,596,525,71,636,580,56,38,17,21,919,845,74
26007,2,3,Michigan,Alpena County,1,31314,31133,181,30816,30650,166,78,74,4,124,120,4,103,102,1,1,1,0,192,186,6
26009,2,3,Michigan,Antrim County,1,23110,22826,284,22527,22266,261,46,42,4,248,236,12,38,36,2,22,22,0,229,224,5
26011,2,3,Michigan,Arenac County,1,17269,17031,238,16528,16310,218,321,314,7,165,159,6,50,50,0,2,1,1,203,197,6
26013,2,3,Michigan,Baraga County,1,8746,8665,81,6923,6879,44,453,438,15,1054,1040,14,25,24,1,1,1,0,290,283,7
26015,2,3,Michigan,Barry County,1,56755,55924,831,55663,54887,776,140,137,3,266,241,25,157,155,2,5,5,0,524,499,25
26017,2,3,Michigan,Bay County,1,110157,105849,4308,106238,102254,3984,1442,1360,82,632,523,109,543,535,8,13,7,6,1289,1170,119
26019,2,3,Michigan,Benzie County,1,15998,15765,233,15511,15293,218,45,43,2,255,248,7,25,25,0,1,0,1,161,156,5
26021,2,3,Michigan,Berrien County,1,162453,157565,4888,131548,127138,4410,26210,25939,271,723,655,68,1897,1880,17,85,69,16,1990,1884,106
26023,2,3,Michigan,Branch County,1,45787,44422,1365,43646,42399,1247,1231,1198,33,226,199,27,218,183,35,10,7,3,456,436,20
26025,2,3,Michigan,Calhoun County,1,137985,133634,4351,117896,114020,3876,15199,14979,220,875,790,85,1561,1540,21,38,28,10,2416,2277,139
26027,2,3,Michigan,Cass County,1,51104,49871,1233,46263,45175,1088,3172,3133,39,433,393,40,311,302,9,4,2,2,921,866,55
26029,2,3,Michigan,Charlevoix County,1,26090,25818,272,25254,25012,242,46,43,3,412,390,22,59,59,0,23,19,4,296,295,1
26031,2,3,Michigan,Cheboygan County,1,26448,26246,202,25143,24971,172,69,62,7,681,665,16,52,52,0,5,5,0,498,491,7
26033,2,3,Michigan,Chippewa County,1,38543,37944,599,29448,29055,393,2206,2146,60,5141,5048,93,184,179,5,10,10,0,1554,1506,48
26035,2,3,Michigan,Clare County,1,31252,30912,340,30554,30245,309,105,103,2,227,216,11,80,78,2,4,2,2,282,268,14
26037,2,3,Michigan,Clinton County,1,64753,63065,1688,63091,61486,1605,418,410,8,287,265,22,339,333,6,28,19,9,590,552,38
26039,2,3,Michigan,Crawford County,1,14273,14131,142,13800,13670,130,218,215,3,85,85,0,38,38,0,3,1,2,129,122,7
26041,2,3,Michigan,Delta County,1,38520,38333,187,36979,36820,159,36,35,1,854,845,9,123,120,3,12,12,0,516,501,15
26043,2,3,Michigan,Dickinson County,1,27472,27285,187,26982,26820,162,33,32,1,145,136,9,116,113,3,8,7,1,188,177,11
26045,2,3,Michigan,Eaton County,1,103655,100332,3323,95131,92102,3029,5569,5435,134,466,430,36,1191,1161,30,32,26,6,1266,1178,88
26047,2,3,Michigan,Emmet County,1,31437,31152,285,29758,29524,234,151,144,7,982,957,25,138,136,2,11,10,1,397,381,16
26049,2,3,Michigan,Genesee County,1,436141,425989,10152,332910,324245,8665,89371,88654,717,2473,2183,290,3596,3545,51,93,80,13,7698,7282,416
26051,2,3,Michigan,Gladwin County,1,26023,25774,249,25534,25314,220,39,33,6,146,141,5,69,69,0,16,4,12,219,213,6
26053,2,3,Michigan,Gogebic County,1,17370,17217,153,16451,16316,135,308,301,7,382,374,8,42,41,1,1,1,0,186,184,2
26055,2,3,Michigan,Grand Traverse County,1,77654,76499,1155,75447,74362,1085,326,308,18,725,699,26,407,406,1,22,18,4,727,706,21
26057,2,3,Michigan,Gratiot County,1,42285,40410,1875,39832,38073,1759,1620,1583,37,237,201,36,155,146,9,7,5,2,434,402,32
26059,2,3,Michigan,Hillsdale County,1,46527,45969,558,45639,45124,515,211,201,10,166,158,8,155,152,3,7,5,2,349,329,20
26061,2,3,Michigan,Houghton County,1,36016,35765,251,34511,34306,205,350,342,8,199,187,12,654,650,4,8,7,1,294,273,21
26063,2,3,Michigan,Huron County,1,36079,35488,591,35518,34956,562,71,71,0,108,95,13,130,128,2,3,3,0,249,235,14
26065,2,3,Michigan,Ingham County,1,279320,263130,16190,229885,215780,14105,31248,30064,1184,1618,1366,252,10486,10377,109,148,112,36,5935,5431,504
26067,2,3,Michigan,Ionia County,1,61518,59807,1711,57330,55821,1509,2858,2789,69,350,289,61,211,200,11,7,7,0,762,701,61
26069,2,3,Michigan,Iosco County,1,27339,27070,269,26588,26356,232,111,106,5,187,171,16,129,123,6,14,14,0,310,300,10
26071,2,3,Michigan,Iron County,1,13138,13054,84,12692,12616,76,145,144,1,134,132,2,26,26,0,0,0,0,141,136,5
26073,2,3,Michigan,Isabella County,1,63351,61932,1419,58558,57435,1123,1259,1229,30,1767,1619,148,908,888,20,33,24,9,826,737,89
26075,2,3,Michigan,Jackson County,1,158422,154929,3493,141881,138806,3075,12668,12444,224,659,593,66,870,864,6,63,55,8,2281,2167,114
26077,2,3,Michigan,Kalamazoo County,1,238603,232292,6311,205304,199845,5459,23616,23160,456,1021,911,110,4452,4422,30,93,74,19,4117,3880,237
26079,2,3,Michigan,Kalkaska County,1,16571,16429,142,16201,16073,128,35,34,1,129,122,7,37,37,0,8,8,0,161,155,6
26081,2,3,Michigan,Kent County,1,574335,534152,40183,498211,462627,35584,53341,50541,2800,3192,2562,630,10905,10724,181,431,222,209,8255,7476,779
26083,2,3,Michigan,Keweenaw County,1,2301,2283,18,2190,2179,11,83,79,4,4,3,1,3,2,1,0,0,0,21,20,1
26085,2,3,Michigan,Lake County,1,11333,11142,191,9674,9520,154,1279,1260,19,116,114,2,18,18,0,4,4,0,242,226,16
26087,2,3,Michigan,Lapeer County,1,87904,85173,2731,85742,83134,2608,729,711,18,342,297,45,352,336,16,8,6,2,731,689,42
26089,2,3,Michigan,Leelanau County,1,21119,20425,694,20047,19431,616,54,49,5,786,729,57,55,52,3,5,4,1,172,160,12
26091,2,3,Michigan,Lenawee County,1,98890,92006,6884,94820,88324,6496,2205,2047,158,432,329,103,470,452,18,8,6,2,955,848,107
26093,2,3,Michigan,Livingston County,1,156951,154998,1953,153138,151344,1794,736,721,15,688,644,44,912,909,3,58,50,8,1419,1330,89
26095,2,3,Michigan,Luce County,1,7024,6901,123,5871,5799,72,542,516,26,405,389,16,26,25,1,3,2,1,177,170,7
26097,2,3,Michigan,Mackinac County,1,11943,11836,107,9605,9522,83,24,23,1,1702,1686,16,37,34,3,2,1,1,573,570,3
26099,2,3,Michigan,Macomb County,1,788149,775714,12435,737744,726435,11309,21572,21320,252,2535,2281,254,17240,17113,127,196,162,34,8862,8403,459
26101,2,3,Michigan,Manistee County,1,24527,23888,639,23391,22806,585,414,396,18,320,302,18,81,79,2,9,4,5,312,301,11
26103,2,3,Michigan,Marquette County,1,64634,64190,444,61679,61286,393,868,856,12,980,961,19,320,315,5,14,13,1,773,759,14
26105,2,3,Michigan,Mason County,1,28274,27422,852,27397,26594,803,220,208,12,225,212,13,78,78,0,6,5,1,348,325,23
26107,2,3,Michigan,Mecosta County,1,40553,40033,520,37807,37345,462,1512,1496,16,264,250,14,358,350,8,16,15,1,596,577,19
26109,2,3,Michigan,Menominee County,1,25326,25136,190,24425,24284,141,26,26,0,587,552,35,54,54,0,1,1,0,233,219,14
26111,2,3,Michigan,Midland County,1,82874,81587,1287,79639,78447,1192,904,878,26,340,315,25,1242,1233,9,29,26,3,720,688,32
26113,2,3,Michigan,Missaukee County,1,14478,14309,169,14200,14042,158,30,28,2,73,69,4,35,35,0,0,0,0,140,135,5
26115,2,3,Michigan,Monroe County,1,145945,142835,3110,140474,137612,2862,2833,2725,108,418,359,59,684,678,6,14,12,2,1522,1449,73
26117,2,3,Michigan,Montcalm County,1,61266,59872,1394,58630,57368,1262,1348,1319,29,380,337,43,168,162,6,42,21,21,698,665,33
26119,2,3,Michigan,Montmorency County,1,10315,10248,67,10162,10099,63,25,25,0,39,37,2,10,9,1,0,0,0,79,78,1
26121,2,3,Michigan,Muskegon County,1,170200,164199,6001,140914,135597,5317,24328,24053,275,1454,1252,202,739,721,18,30,17,13,2735,2559,176
26123,2,3,Michigan,Newaygo County,1,47874,46029,1845,46303,44571,1732,567,528,39,327,293,34,144,141,3,14,10,4,519,486,33
26125,2,3,Michigan,Oakland County,1,1194156,1165157,28999,1003787,978069,25718,122061,120406,1655,3413,2915,498,50071,49817,254,333,267,66,14491,13683,808
26127,2,3,Michigan,Oceana County,1,26873,23754,3119,26111,23122,2989,94,78,16,306,242,64,74,66,8,14,8,6,274,238,36
26129,2,3,Michigan,Ogemaw County,1,21645,21393,252,21148,20919,229,29,28,1,130,121,9,85,83,2,7,7,0,246,235,11
26131,2,3,Michigan,Ontonagon County,1,7818,7760,58,7635,7579,56,2,2,0,75,74,1,14,14,0,2,2,0,90,89,1
26133,2,3,Michigan,Osceola County,1,23197,22967,230,22697,22483,214,81,79,2,117,111,6,51,48,3,4,4,0,247,242,5
26135,2,3,Michigan,Oscoda County,1,9418,9329,89,9244,9166,78,8,8,0,68,61,7,7,6,1,1,1,0,90,87,3
26137,2,3,Michigan,Otsego County,1,23301,23126,175,22782,22623,159,42,42,0,149,140,9,79,79,0,9,9,0,240,233,7
26139,2,3,Michigan,Ottawa County,1,238314,221622,16692,227203,211429,15774,2708,2398,310,951,690,261,5180,5087,93,51,33,18,2221,1985,236
26141,2,3,Michigan,Presque Isle County,1,14411,14332,79,14159,14091,68,47,46,1,85,83,2,24,22,2,1,0,1,95,90,5
26143,2,3,Michigan,Roscommon County,1,25469,25265,204,25005,24815,190,82,81,1,163,158,5,49,49,0,11,10,1,159,152,7
26145,2,3,Michigan,Saginaw County,1,210039,195964,14075,165026,152437,12589,39724,38846,878,930,712,218,1741,1686,55,54,16,38,2564,2267,297
26147,2,3,Michigan,St. Clair County,1,164235,160642,3593,157374,154169,3205,3531,3413,118,852,749,103,670,647,23,32,26,6,1776,1638,138
26149,2,3,Michigan,St. Joseph County,1,62422,59934,2488,59425,57094,2331,1639,1580,59,242,209,33,377,367,10,11,5,6,728,679,49
26151,2,3,Michigan,Sanilac County,1,44547,43308,1239,43774,42578,1196,124,120,4,161,153,8,117,113,4,3,3,0,368,341,27
26153,2,3,Michigan,Schoolcraft County,1,8903,8820,83,7935,7872,63,149,144,5,545,533,12,37,37,0,0,0,0,237,234,3
26155,2,3,Michigan,Shiawassee County,1,71687,70392,1295,70285,69082,1203,147,136,11,338,297,41,206,201,5,15,8,7,696,668,28
26157,2,3,Michigan,Tuscola County,1,58266,56924,1342,56546,55284,1262,632,622,10,349,322,27,182,175,7,11,10,1,546,511,35
26159,2,3,Michigan,Van Buren County,1,76263,70629,5634,69980,64635,5345,4090,3980,110,738,659,79,245,231,14,10,4,6,1200,1120,80
26161,2,3,Michigan,Washtenaw County,1,322895,314056,8839,254408,246734,7674,40291,39740,551,1207,1054,153,20645,20534,111,134,114,20,6210,5880,330
26163,2,3,Michigan,Wayne County,1,2061162,1983955,77207,1114952,1047777,67175,873660,867238,6422,8016,6725,1291,36735,36235,500,622,422,200,27177,25558,1619
26165,2,3,Michigan,Wexford County,1,30484,30177,307,29787,29516,271,60,55,5,226,215,11,129,128,1,9,6,3,273,257,16
26001,2,3,Michigan,Alcona County,2,11719,11638,81,11500,11425,75,22,22,0,74,72,2,21,19,2,1,1,0,101,99,2
26003,2,3,Michigan,Alger County,2,9862,9763,99,8703,8644,59,605,596,9,331,306,25,34,32,2,4,3,1,185,182,3
26005,2,3,Michigan,Allegan County,2,105665,99625,6040,102028,96332,5696,1448,1326,122,596,525,71,636,580,56,38,17,21,919,845,74
26007,2,3,Michigan,Alpena County,2,31314,31133,181,30816,30650,166,78,74,4,124,120,4,103,102,1,1,1,0,192,186,6
26009,2,3,Michigan,Antrim County,2,23110,22826,284,22527,22266,261,46,42,4,248,236,12,38,36,2,22,22,0,229,224,5
26011,2,3,Michigan,Arenac County,2,17269,17031,238,16528,16310,218,321,314,7,165,159,6,50,50,0,2,1,1,203,197,6
26013,2,3,Michigan,Baraga County,2,8746,8665,81,6923,6879,44,453,438,15,1054,1040,14,25,24,1,1,1,0,290,283,7
26015,2,3,Michigan,Barry County,2,56755,55924,831,55663,54887,776,140,137,3,266,241,25,157,155,2,5,5,0,524,499,25
26017,2,3,Michigan,Bay County,2,110157,105849,4308,106238,102254,3984,1442,1360,82,632,523,109,543,535,8,13,7,6,1289,1170,119
26019,2,3,Michigan,Benzie County,2,15998,15765,233,15511,15293,218,45,43,2,255,248,7,25,25,0,1,0,1,161,156,5
26021,2,3,Michigan,Berrien County,2,162453,157565,4888,131548,127138,4410,26210,25939,271,723,655,68,1897,1880,17,85,69,16,1990,1884,106
26023,2,3,Michigan,Branch County,2,45787,44422,1365,43646,42399,1247,1231,1198,33,226,199,27,218,183,35,10,7,3,456,436,20
26025,2,3,Michigan,Calhoun County,2,137985,133634,4351,117896,114020,3876,15199,14979,220,875,790,85,1561,1540,21,38,28,10,2416,2277,139
26027,2,3,Michigan,Cass County,2,51104,49871,1233,46263,45175,1088,3172,3133,39,433,393,40,311,302,9,4,2,2,921,866,55
26029,2,3,Michigan,Charlevoix County,2,26090,25818,272,25254,25012,242,46,43,3,412,390,22,59,59,0,23,19,4,296,295,1
26031,2,3,Michigan,Cheboygan County,2,26448,26246,202,25143,24971,172,69,62,7,681,665,16,52,52,0,5,5,0,498,491,7
26033,2,3,Michigan,Chippewa County,2,38543,37944,599,29448,29055,393,2206,2146,60,5141,5048,93,184,179,5,10,10,0,1554,1506,48
26035,2,3,Michigan,Clare County,2,31252,30912,340,30554,30245,309,105,103,2,227,216,11,80,78,2,4,2,2,282,268,14
26037,2,3,Michigan,Clinton County,2,64753,63065,1688,63091,61486,1605,418,410,8,287,265,22,339,333,6,28,19,9,590,552,38
26039,2,3,Michigan,Crawford County,2,14273,14131,142,13800,13670,130,218,215,3,85,85,0,38,38,0,3,1,2,129,122,7
26041,2,3,Michigan,Delta County,2,38520,38333,187,36979,36820,159,36,35,1,854,845,9,123,120,3,12,12,0,516,501,15
26043,2,3,Michigan,Dickinson County,2,27472,27285,187,26982,26820,162,33,32,1,145,136,9,116,113,3,8,7,1,188,177,11
26045,2,3,Michigan,Eaton County,2,103655,100332,3323,95131,92102,3029,5569,5435,134,466,430,36,1191,1161,30,32,26,6,1266,1178,88
26047,2,3,Michigan,Emmet County,2,31437,31152,285,29758,29524,234,151,144,7,982,957,25,138,136,2,11,10,1,397,381,16
26049,2,3,Michigan,Genesee County,2,436148,425996,10152,332917,324252,8665,89371,88654,717,2473,2183,290,3596,3545,51,93,80,13,7698,7282,416
26051,2,3,Michigan,Gladwin County,2,26023,25774,249,25534,25314,220,39,33,6,146,141,5,69,69,0,16,4,12,219,213,6
26053,2,3,Michigan,Gogebic County,2,17370,17217,153,16451,16316,135,308,301,7,382,374,8,42,41,1,1,1,0,186,184,2
26055,2,3,Michigan,Grand Traverse County,2,77654,76499,1155,75447,74362,1085,326,308,18,725,699,26,407,406,1,22,18,4,727,706,21
26057,2,3,Michigan,Gratiot County,2,42285,40410,1875,39832,38073,1759,1620,1583,37,237,201,36,155,146,9,7,5,2,434,402,32
26059,2,3,Michigan,Hillsdale County,2,46527,45969,558,45639,45124,515,211,201,10,166,158,8,155,152,3,7,5,2,349,329,20
26061,2,3,Michigan,Houghton County,2,36016,35765,251,34511,34306,205,350,342,8,199,187,12,654,650,4,8,7,1,294,273,21
26063,2,3,Michigan,Huron County,2,36079,35488,591,35518,34956,562,71,71,0,108,95,13,130,128,2,3,3,0,249,235,14
26065,2,3,Michigan,Ingham County,2,279414,263208,16206,229968,215850,14118,31253,30069,1184,1618,1366,252,10489,10380,109,148,112,36,5938,5431,507
26067,2,3,Michigan,Ionia County,2,61518,59807,1711,57330,55821,1509,2858,2789,69,350,289,61,211,200,11,7,7,0,762,701,61
26069,2,3,Michigan,Iosco County,2,27339,27070,269,26588,26356,232,111,106,5,187,171,16,129,123,6,14,14,0,310,300,10
26071,2,3,Michigan,Iron County,2,13138,13054,84,12692,12616,76,145,144,1,134,132,2,26,26,0,0,0,0,141,136,5
26073,2,3,Michigan,Isabella County,2,63351,61932,1419,58558,57435,1123,1259,1229,30,1767,1619,148,908,888,20,33,24,9,826,737,89
26075,2,3,Michigan,Jackson County,2,158422,154929,3493,141881,138806,3075,12668,12444,224,659,593,66,870,864,6,63,55,8,2281,2167,114
26077,2,3,Michigan,Kalamazoo County,2,238603,232292,6311,205304,199845,5459,23616,23160,456,1021,911,110,4452,4422,30,93,74,19,4117,3880,237
26079,2,3,Michigan,Kalkaska County,2,16571,16429,142,16201,16073,128,35,34,1,129,122,7,37,37,0,8,8,0,161,155,6
26081,2,3,Michigan,Kent County,2,574335,534152,40183,498211,462627,35584,53341,50541,2800,3192,2562,630,10905,10724,181,431,222,209,8255,7476,779
26083,2,3,Michigan,Keweenaw County,2,2301,2283,18,2190,2179,11,83,79,4,4,3,1,3,2,1,0,0,0,21,20,1
26085,2,3,Michigan,Lake County,2,11333,11142,191,9674,9520,154,1279,1260,19,116,114,2,18,18,0,4,4,0,242,226,16
26087,2,3,Michigan,Lapeer County,2,87904,85173,2731,85742,83134,2608,729,711,18,342,297,45,352,336,16,8,6,2,731,689,42
26089,2,3,Michigan,Leelanau County,2,21119,20425,694,20047,19431,616,54,49,5,786,729,57,55,52,3,5,4,1,172,160,12
26091,2,3,Michigan,Lenawee County,2,98947,92063,6884,94873,88377,6496,2206,2048,158,432,329,103,471,453,18,8,6,2,957,850,107
26093,2,3,Michigan,Livingston County,2,156951,154998,1953,153138,151344,1794,736,721,15,688,644,44,912,909,3,58,50,8,1419,1330,89
26095,2,3,Michigan,Luce County,2,7024,6901,123,5871,5799,72,542,516,26,405,389,16,26,25,1,3,2,1,177,170,7
26097,2,3,Michigan,Mackinac County,2,11943,11836,107,9605,9522,83,24,23,1,1702,1686,16,37,34,3,2,1,1,573,570,3
26099,2,3,Michigan,Macomb County,2,788149,775714,12435,737744,726435,11309,21572,21320,252,2535,2281,254,17240,17113,127,196,162,34,8862,8403,459
26101,2,3,Michigan,Manistee County,2,24527,23888,639,23391,22806,585,414,396,18,320,302,18,81,79,2,9,4,5,312,301,11
26103,2,3,Michigan,Marquette County,2,64634,64190,444,61679,61286,393,868,856,12,980,961,19,320,315,5,14,13,1,773,759,14
26105,2,3,Michigan,Mason County,2,28274,27422,852,27397,26594,803,220,208,12,225,212,13,78,78,0,6,5,1,348,325,23
26107,2,3,Michigan,Mecosta County,2,40553,40033,520,37807,37345,462,1512,1496,16,264,250,14,358,350,8,16,15,1,596,577,19
26109,2,3,Michigan,Menominee County,2,25326,25136,190,24425,24284,141,26,26,0,587,552,35,54,54,0,1,1,0,233,219,14
26111,2,3,Michigan,Midland County,2,82874,81587,1287,79639,78447,1192,904,878,26,340,315,25,1242,1233,9,29,26,3,720,688,32
26113,2,3,Michigan,Missaukee County,2,14478,14309,169,14200,14042,158,30,28,2,73,69,4,35,35,0,0,0,0,140,135,5
26115,2,3,Michigan,Monroe County,2,145945,142835,3110,140474,137612,2862,2833,2725,108,418,359,59,684,678,6,14,12,2,1522,1449,73
26117,2,3,Michigan,Montcalm County,2,61266,59872,1394,58630,57368,1262,1348,1319,29,380,337,43,168,162,6,42,21,21,698,665,33
26119,2,3,Michigan,Montmorency County,2,10315,10248,67,10162,10099,63,25,25,0,39,37,2,10,9,1,0,0,0,79,78,1
26121,2,3,Michigan,Muskegon County,2,170200,164199,6001,140914,135597,5317,24328,24053,275,1454,1252,202,739,721,18,30,17,13,2735,2559,176
26123,2,3,Michigan,Newaygo County,2,47874,46029,1845,46303,44571,1732,567,528,39,327,293,34,144,141,3,14,10,4,519,486,33
26125,2,3,Michigan,Oakland County,2,1194156,1165157,28999,1003787,978069,25718,122061,120406,1655,3413,2915,498,50071,49817,254,333,267,66,14491,13683,808
26127,2,3,Michigan,Oceana County,2,26873,23754,3119,26111,23122,2989,94,78,16,306,242,64,74,66,8,14,8,6,274,238,36
26129,2,3,Michigan,Ogemaw County,2,21645,21393,252,21148,20919,229,29,28,1,130,121,9,85,83,2,7,7,0,246,235,11
26131,2,3,Michigan,Ontonagon County,2,7818,7760,58,7635,7579,56,2,2,0,75,74,1,14,14,0,2,2,0,90,89,1
26133,2,3,Michigan,Osceola County,2,23197,22967,230,22697,22483,214,81,79,2,117,111,6,51,48,3,4,4,0,247,242,5
26135,2,3,Michigan,Oscoda County,2,9418,9329,89,9244,9166,78,8,8,0,68,61,7,7,6,1,1,1,0,90,87,3
26137,2,3,Michigan,Otsego County,2,23301,23126,175,22782,22623,159,42,42,0,149,140,9,79,79,0,9,9,0,240,233,7
26139,2,3,Michigan,Ottawa County,2,238314,221622,16692,227203,211429,15774,2708,2398,310,951,690,261,5180,5087,93,51,33,18,2221,1985,236
26141,2,3,Michigan,Presque Isle County,2,14411,14332,79,14159,14091,68,47,46,1,85,83,2,24,22,2,1,0,1,95,90,5
26143,2,3,Michigan,Roscommon County,2,25469,25265,204,25005,24815,190,82,81,1,163,158,5,49,49,0,11,10,1,159,152,7
26145,2,3,Michigan,Saginaw County,2,210042,195967,14075,165029,152440,12589,39724,38846,878,930,712,218,1741,1686,55,54,16,38,2564,2267,297
26147,2,3,Michigan,St. Clair County,2,164235,160642,3593,157374,154169,3205,3531,3413,118,852,749,103,670,647,23,32,26,6,1776,1638,138
26149,2,3,Michigan,St. Joseph County,2,62422,59934,2488,59425,57094,2331,1639,1580,59,242,209,33,377,367,10,11,5,6,728,679,49
26151,2,3,Michigan,Sanilac County,2,44547,43308,1239,43774,42578,1196,124,120,4,161,153,8,117,113,4,3,3,0,368,341,27
26153,2,3,Michigan,Schoolcraft County,2,8903,8820,83,7935,7872,63,149,144,5,545,533,12,37,37,0,0,0,0,237,234,3
26155,2,3,Michigan,Shiawassee County,2,71687,70392,1295,70285,69082,1203,147,136,11,338,297,41,206,201,5,15,8,7,696,668,28
26157,2,3,Michigan,Tuscola County,2,58266,56924,1342,56546,55284,1262,632,622,10,349,322,27,182,175,7,11,10,1,546,511,35
26159,2,3,Michigan,Van Buren County,2,76263,70629,5634,69980,64635,5345,4090,3980,110,738,659,79,245,231,14,10,4,6,1200,1120,80
26161,2,3,Michigan,Washtenaw County,2,322770,313932,8838,254320,246647,7673,40271,39720,551,1207,1054,153,20630,20519,111,133,113,20,6209,5879,330
