stcty,reg,div,stname,ctyname,time,popestimate,popest_nonhisp,popest_hisp,whiteac_tot,whiteac_nonhisp,whiteac_hisp,blackac_tot,blackac_nonhisp,blackac_hisp,aianac_tot,aianac_nonhisp,aianac_hisp,asiaac_tot,asiaac_nonhisp,asiaac_hisp,nhpiac_tot,nhpiac_nonhisp,nhpiac_hisp
18001,2,3,Indiana,Adams County,1,33625,32507,1118,33435,32342,1093,75,68,7,146,129,17,93,92,1,22,13,9
18003,2,3,Indiana,Allen County,1,331849,317972,13877,287174,274381,12793,40620,39776,844,2657,2353,304,5713,5565,148,283,231,52
18005,2,3,Indiana,Bartholomew County,1,71435,69837,1598,68546,67031,1515,1595,1550,45,281,262,19,1498,1468,30,47,36,11
18007,2,3,Indiana,Benton County,1,9421,9176,245,9374,9142,232,41,38,3,92,80,12,17,16,1,5,0,5
18009,2,3,Indiana,Blackford County,1,14048,13965,83,13952,13882,70,48,40,8,123,117,6,30,30,0,0,0,0
18011,2,3,Indiana,Boone County,1,46107,45573,534,45589,45094,495,229,211,18,224,197,27,282,276,6,11,11,0
18013,2,3,Indiana,Brown County,1,14957,14826,131,14854,14726,128,67,67,0,102,97,5,57,56,1,7,6,1
18015,2,3,Indiana,Carroll County,1,20165,19574,591,20077,19491,586,51,47,4,75,73,2,26,26,0,6,5,1
18017,2,3,Indiana,Cass County,1,40930,38025,2905,39966,37200,2766,644,593,51,278,214,64,281,261,20,43,26,17
18019,2,3,Indiana,Clark County,1,96472,94673,1799,89040,87401,1639,7077,6977,100,680,629,51,771,752,19,91,72,19
18021,2,3,Indiana,Clay County,1,26556,26401,155,26356,26222,134,130,121,9,167,155,12,55,51,4,15,13,2
18023,2,3,Indiana,Clinton County,1,33866,31388,2478,33584,31206,2378,170,95,75,139,125,14,94,75,19,22,15,7
18025,2,3,Indiana,Crawford County,1,10743,10643,100,10650,10567,83,26,23,3,68,62,6,24,20,4,16,7,9
18027,2,3,Indiana,Daviess County,1,29820,29200,620,29521,28938,583,182,158,24,142,122,20,95,91,4,18,13,5
18029,2,3,Indiana,Dearborn County,1,46109,45843,266,45595,45341,254,383,373,10,225,213,12,180,177,3,20,18,2
18031,2,3,Indiana,Decatur County,1,24555,24423,132,24334,24207,127,22,20,2,90,87,3,205,205,0,7,5,2
18033,2,3,Indiana,DeKalb County,1,40285,39609,676,39935,39280,655,161,160,1,217,198,19,178,172,6,38,37,1
18035,2,3,Indiana,Delaware County,1,118769,117465,1304,109464,108320,1144,8629,8490,139,734,695,39,1037,1020,17,143,120,23
18037,2,3,Indiana,Dubois County,1,39674,38571,1103,39468,38393,1075,88,78,10,121,102,19,114,106,8,17,13,4
18039,2,3,Indiana,Elkhart County,1,182791,166491,16300,170409,154691,15718,10819,10474,345,1371,1147,224,2227,2124,103,183,95,88
18041,2,3,Indiana,Fayette County,1,25588,25456,132,25054,24932,122,492,489,3,93,82,11,96,95,1,8,4,4
18043,2,3,Indiana,Floyd County,1,70823,70051,772,67107,66397,710,3547,3501,46,398,368,30,470,459,11,54,49,5
18045,2,3,Indiana,Fountain County,1,17954,17764,190,17864,17676,188,33,27,6,81,78,3,51,50,1,5,5,0
18047,2,3,Indiana,Franklin County,1,22151,22047,104,22056,21962,94,13,13,0,98,96,2,70,63,7,5,3,2
18049,2,3,Indiana,Fulton County,1,20511,20038,473,20188,19719,469,200,193,7,174,172,2,96,96,0,13,13,0
18051,2,3,Indiana,Gibson County,1,32500,32271,229,31636,31417,219,750,746,4,120,114,6,193,187,6,3,3,0
18053,2,3,Indiana,Grant County,1,73403,71616,1787,67247,65583,1664,5804,5710,94,689,650,39,540,526,14,60,49,11
18055,2,3,Indiana,Greene County,1,33157,32889,268,32940,32697,243,59,51,8,235,214,21,92,84,8,7,6,1
18057,2,3,Indiana,Hamilton County,1,182740,179829,2911,174908,172144,2764,3277,3199,78,754,707,47,5122,5065,57,131,112,19
18059,2,3,Indiana,Hancock County,1,55391,54865,526,54989,54481,508,128,126,2,263,250,13,291,285,6,28,19,9
18061,2,3,Indiana,Harrison County,1,34325,33994,331,34016,33695,321,171,167,4,204,192,12,120,118,2,13,11,2
18063,2,3,Indiana,Hendricks County,1,104093,102931,1162,101851,100775,1076,1347,1307,40,671,602,69,952,913,39,65,60,5
18065,2,3,Indiana,Henry County,1,48508,48121,387,47889,47520,369,516,510,6,184,172,12,139,133,6,12,11,1
18067,2,3,Indiana,Howard County,1,84964,83255,1709,78106,76498,1608,6175,6090,85,695,645,50,1033,1026,7,50,42,8
18069,2,3,Indiana,Huntington County,1,38075,37712,363,37711,37363,348,125,116,9,271,263,8,156,147,9,12,11,1
18071,2,3,Indiana,Jackson County,1,41335,40223,1112,40635,39557,1078,316,291,25,217,207,10,380,375,5,44,38,6
18073,2,3,Indiana,Jasper County,1,30043,29310,733,29819,29098,721,132,129,3,156,138,18,99,91,8,7,3,4
18075,2,3,Indiana,Jay County,1,21806,21416,390,21624,21241,383,73,69,4,109,94,15,112,100,12,12,8,4
18077,2,3,Indiana,Jefferson County,1,31705,31373,332,30946,30637,309,577,556,21,227,214,13,257,252,5,19,17,2
18079,2,3,Indiana,Jennings County,1,27554,27361,193,27201,27019,182,266,257,9,162,158,4,112,108,4,5,5,0
18081,2,3,Indiana,Johnson County,1,115209,113618,1591,113022,111497,1525,1111,1072,39,462,427,35,1196,1164,32,69,65,4
18083,2,3,Indiana,Knox County,1,39256,38934,322,38183,37892,291,836,816,20,205,195,10,238,237,1,33,31,2
18085,2,3,Indiana,Kosciusko County,1,74057,70335,3722,72942,69310,3632,606,578,28,431,371,60,514,502,12,30,23,7
18087,2,3,Indiana,LaGrange County,1,34909,33812,1097,34684,33624,1060,112,90,22,168,151,17,138,130,8,7,2,5
18089,2,3,Indiana,Lake County,1,484564,425436,59128,353659,298164,55495,126487,123700,2787,3477,2539,938,5197,4877,320,400,219,181
18091,2,3,Indiana,LaPorte County,1,110106,106704,3402,97775,94627,3148,11977,11771,206,909,839,70,681,656,25,66,47,19
18093,2,3,Indiana,Lawrence County,1,45922,45506,416,45467,45064,403,231,228,3,331,318,13,200,197,3,17,17,0
18095,2,3,Indiana,Madison County,1,133358,131365,1993,121838,120001,1837,11162,11045,117,891,815,76,659,628,31,66,50,16
18097,2,3,Indiana,Marion County,1,860454,827164,33290,633850,603596,30254,216453,214010,2443,5850,5088,762,15234,14857,377,930,757,173
18099,2,3,Indiana,Marshall County,1,45128,42464,2664,44654,42070,2584,224,188,36,286,249,37,228,224,4,26,11,15
18101,2,3,Indiana,Martin County,1,10369,10327,42,10321,10279,42,30,30,0,43,43,0,26,26,0,4,4,0
18103,2,3,Indiana,Miami County,1,36082,35604,478,34419,33999,420,1236,1198,38,669,641,28,201,194,7,21,19,2
18105,2,3,Indiana,Monroe County,1,120563,118328,2235,112219,110118,2101,4285,4187,98,893,840,53,4757,4703,54,134,116,18
18107,2,3,Indiana,Montgomery County,1,37629,37018,611,37065,36468,597,370,361,9,198,195,3,221,218,3,20,15,5
18109,2,3,Indiana,Morgan County,1,66689,66199,490,66300,65829,471,113,109,4,438,424,14,236,227,9,21,19,2
18111,2,3,Indiana,Newton County,1,14566,14144,422,14446,14038,408,39,36,3,102,99,3,48,47,1,14,6,8
18113,2,3,Indiana,Noble County,1,46275,42976,3299,45769,42525,3244,242,219,23,295,262,33,229,214,15,25,15,10
18115,2,3,Indiana,Ohio County,1,5623,5598,25,5577,5553,24,36,36,0,20,19,1,15,13,2,1,1,0
18117,2,3,Indiana,Orange County,1,19306,19198,108,19079,18983,96,163,146,17,129,122,7,48,46,2,8,7,1
18119,2,3,Indiana,Owen County,1,21786,21622,164,21597,21452,145,91,88,3,182,167,15,61,57,4,10,4,6
18121,2,3,Indiana,Parke County,1,17241,17137,104,16781,16683,98,388,384,4,130,126,4,54,53,1,8,8,0
18123,2,3,Indiana,Perry County,1,18899,18766,133,18551,18425,126,303,300,3,77,73,4,37,36,1,11,11,0
18125,2,3,Indiana,Pike County,1,12837,12763,74,12785,12713,72,23,21,2,43,43,0,24,24,0,6,6,0
18127,2,3,Indiana,Porter County,1,146798,139719,7079,143568,136685,6883,1706,1582,124,972,829,143,1723,1676,47,111,86,25
18129,2,3,Indiana,Posey County,1,27061,26943,118,26705,26596,109,294,291,3,135,128,7,71,70,1,4,4,0
18131,2,3,Indiana,Pulaski County,1,13755,13564,191,13556,13375,181,143,138,5,82,78,4,44,43,1,9,2,7
18133,2,3,Indiana,Putnam County,1,36019,35607,412,34599,34234,365,1159,1138,21,248,221,27,267,259,8,33,29,4
18135,2,3,Indiana,Randolph County,1,27401,27068,333,27221,26898,323,118,108,10,148,144,4,86,84,2,12,11,1
18137,2,3,Indiana,Ripley County,1,26523,26276,247,26321,26077,244,31,31,0,146,143,3,123,123,0,10,10,0
18139,2,3,Indiana,Rush County,1,18261,18169,92,18032,17942,90,143,142,1,107,107,0,108,107,1,6,6,0
18141,2,3,Indiana,St. Joseph County,1,265559,253002,12557,229527,217857,11670,32962,32287,675,2317,2044,273,4506,4375,131,312,242,70
18143,2,3,Indiana,Scott County,1,22960,22738,222,22863,22649,214,32,29,3,98,97,1,67,62,5,2,2,0
18145,2,3,Indiana,Shelby County,1,43445,42948,497,42726,42265,461,417,403,14,225,206,19,306,300,6,28,18,10
18147,2,3,Indiana,Spencer County,1,20391,20088,303,20176,19889,287,144,131,13,100,92,8,64,61,3,2,1,1
18149,2,3,Indiana,Starke County,1,23556,23042,514,23379,22884,495,84,73,11,171,147,24,89,82,7,9,9,0
18151,2,3,Indiana,Steuben County,1,33214,32531,683,32816,32163,653,171,161,10,230,212,18,174,169,5,11,11,0
18153,2,3,Indiana,Sullivan County,1,21751,21572,179,20700,20542,158,983,981,2,168,153,15,54,53,1,11,7,4
18155,2,3,Indiana,Switzerland County,1,9065,8987,78,9021,8947,74,23,23,0,47,44,3,8,7,1,2,2,0
18157,2,3,Indiana,Tippecanoe County,1,148955,141121,7834,137766,130180,7586,4306,4183,123,987,849,138,7241,7181,60,157,123,34
18159,2,3,Indiana,Tipton County,1,16577,16376,201,16458,16269,189,37,36,1,74,61,13,72,71,1,15,15,0
18161,2,3,Indiana,Union County,1,7349,7327,22,7294,7273,21,22,22,0,34,33,1,20,20,0,7,7,0
18163,2,3,Indiana,Vanderburgh County,1,171922,170243,1679,155889,154384,1505,15192,15067,125,897,832,65,1651,1619,32,133,114,19
18165,2,3,Indiana,Vermillion County,1,16788,16681,107,16672,16570,102,61,60,1,122,117,5,45,39,6,9,9,0
18167,2,3,Indiana,Vigo County,1,105848,104573,1275,97650,96495,1155,7086,6990,96,788,743,45,1565,1550,15,85,75,10
18169,2,3,Indiana,Wabash County,1,34960,34546,414,34425,34030,395,190,186,4,366,354,12,168,164,4,19,16,3
18171,2,3,Indiana,Warren County,1,8419,8382,37,8383,8346,37,12,12,0,33,30,3,19,19,0,3,3,0
18173,2,3,Indiana,Warrick County,1,52383,52043,340,51410,51087,323,615,601,14,177,174,3,406,403,3,32,30,2
18175,2,3,Indiana,Washington County,1,27223,27023,200,27105,26907,198,48,48,0,149,143,6,63,62,1,4,4,0
18177,2,3,Indiana,Wayne County,1,71097,70126,971,66816,65926,890,4239,4175,64,439,416,23,489,471,18,54,47,7
18179,2,3,Indiana,Wells County,1,27600,27203,397,27433,27054,379,96,91,5,150,138,12,83,80,3,12,11,1
18181,2,3,Indiana,White County,1,25267,23918,1349,25078,23754,1324,65,52,13,160,153,7,83,81,2,21,13,8
18183,2,3,Indiana,Whitley County,1,30707,30431,276,30467,30198,269,91,89,2,201,188,13,87,86,1,18,16,2
18001,2,3,Indiana,Adams County,2,33625,32507,1118,33435,32342,1093,75,68,7,146,129,17,93,92,1,22,13,9
18003,2,3,Indiana,Allen County,2,331849,317972,13877,287174,274381,12793,40620,39776,844,2657,2353,304,5713,5565,148,283,231,52
18005,2,3,Indiana,Bartholomew County,2,71435,69837,1598,68546,67031,1515,1595,1550,45,281,262,19,1498,1468,30,47,36,11
18007,2,3,Indiana,Benton County,2,9421,9176,245,9374,9142,232,41,38,3,92,80,12,17,16,1,5,0,5
18009,2,3,Indiana,Blackford County,2,14048,13965,83,13952,13882,70,48,40,8,123,117,6,30,30,0,0,0,0
18011,2,3,Indiana,Boone County,2,46107,45573,534,45589,45094,495,229,211,18,224,197,27,282,276,6,11,11,0
18013,2,3,Indiana,Brown County,2,14957,14826,131,14854,14726,128,67,67,0,102,97,5,57,56,1,7,6,1
18015,2,3,Indiana,Carroll County,2,20165,19574,591,20077,19491,586,51,47,4,75,73,2,26,26,0,6,5,1
18017,2,3,Indiana,Cass County,2,40930,38025,2905,39966,37200,2766,644,593,51,278,214,64,281,261,20,43,26,17
18019,2,3,Indiana,Clark County,2,96472,94673,1799,89040,87401,1639,7077,6977,100,680,629,51,771,752,19,91,72,19
18021,2,3,Indiana,Clay County,2,26556,26401,155,26356,26222,134,130,121,9,167,155,12,55,51,4,15,13,2
18023,2,3,Indiana,Clinton County,2,33866,31388,2478,33584,31206,2378,170,95,75,139,125,14,94,75,19,22,15,7
18025,2,3,Indiana,Crawford County,2,10743,10643,100,10650,10567,83,26,23,3,68,62,6,24,20,4,16,7,9
18027,2,3,Indiana,Daviess County,2,29820,29200,620,29521,28938,583,182,158,24,142,122,20,95,91,4,18,13,5
18029,2,3,Indiana,Dearborn County,2,46130,45864,266,45616,45362,254,383,373,10,225,213,12,180,177,3,20,18,2
18031,2,3,Indiana,Decatur County,2,24555,24423,132,24334,24207,127,22,20,2,90,87,3,205,205,0,7,5,2
18033,2,3,Indiana,DeKalb County,2,40285,39609,676,39935,39280,655,161,160,1,217,198,19,178,172,6,38,37,1
18035,2,3,Indiana,Delaware County,2,118769,117465,1304,109464,108320,1144,8629,8490,139,734,695,39,1037,1020,17,143,120,23
18037,2,3,Indiana,Dubois County,2,39674,38571,1103,39468,38393,1075,88,78,10,121,102,19,114,106,8,17,13,4
18039,2,3,Indiana,Elkhart County,2,182791,166491,16300,170409,154691,15718,10819,10474,345,1371,1147,224,2227,2124,103,183,95,88
18041,2,3,Indiana,Fayette County,2,25588,25456,132,25054,24932,122,492,489,3,93,82,11,96,95,1,8,4,4
18043,2,3,Indiana,Floyd County,2,70823,70051,772,67107,66397,710,3547,3501,46,398,368,30,470,459,11,54,49,5
18045,2,3,Indiana,Fountain County,2,17954,17764,190,17864,17676,188,33,27,6,81,78,3,51,50,1,5,5,0
18047,2,3,Indiana,Franklin County,2,22151,22047,104,22056,21962,94,13,13,0,98,96,2,70,63,7,5,3,2
18049,2,3,Indiana,Fulton County,2,20511,20038,473,20188,19719,469,200,193,7,174,172,2,96,96,0,13,13,0
18051,2,3,Indiana,Gibson County,2,32500,32271,229,31636,31417,219,750,746,4,120,114,6,193,187,6,3,3,0
18053,2,3,Indiana,Grant County,2,73403,71616,1787,67247,65583,1664,5804,5710,94,689,650,39,540,526,14,60,49,11
18055,2,3,Indiana,Greene County,2,33157,32889,268,32940,32697,243,59,51,8,235,214,21,92,84,8,7,6,1
18057,2,3,Indiana,Hamilton County,2,182740,179829,2911,174908,172144,2764,3277,3199,78,754,707,47,5122,5065,57,131,112,19
18059,2,3,Indiana,Hancock County,2,55391,54865,526,54989,54481,508,128,126,2,263,250,13,291,285,6,28,19,9
18061,2,3,Indiana,Harrison County,2,34325,33994,331,34016,33695,321,171,167,4,204,192,12,120,118,2,13,11,2
18063,2,3,Indiana,Hendricks County,2,104093,102931,1162,101851,100775,1076,1347,1307,40,671,602,69,952,913,39,65,60,5
18065,2,3,Indiana,Henry County,2,48508,48121,387,47889,47520,369,516,510,6,184,172,12,139,133,6,12,11,1
18067,2,3,Indiana,Howard County,2,84964,83255,1709,78106,76498,1608,6175,6090,85,695,645,50,1033,1026,7,50,42,8
18069,2,3,Indiana,Huntington County,2,38075,37712,363,37711,37363,348,125,116,9,271,263,8,156,147,9,12,11,1
18071,2,3,Indiana,Jackson County,2,41335,40223,1112,40635,39557,1078,316,291,25,217,207,10,380,375,5,44,38,6
18073,2,3,Indiana,Jasper County,2,30043,29310,733,29819,29098,721,132,129,3,156,138,18,99,91,8,7,3,4
18075,2,3,Indiana,Jay County,2,21806,21416,390,21624,21241,383,73,69,4,109,94,15,112,100,12,12,8,4
18077,2,3,Indiana,Jefferson County,2,31705,31373,332,30946,30637,309,577,556,21,227,214,13,257,252,5,19,17,2
18079,2,3,Indiana,Jennings County,2,27554,27361,193,27201,27019,182,266,257,9,162,158,4,112,108,4,5,5,0
18081,2,3,Indiana,Johnson County,2,115209,113618,1591,113022,111497,1525,1111,1072,39,462,427,35,1196,1164,32,69,65,4
18083,2,3,Indiana,Knox County,2,39256,38934,322,38183,37892,291,836,816,20,205,195,10,238,237,1,33,31,2
18085,2,3,Indiana,Kosciusko County,2,74057,70335,3722,72942,69310,3632,606,578,28,431,371,60,514,502,12,30,23,7
18087,2,3,Indiana,LaGrange County,2,34909,33812,1097,34684,33624,1060,112,90,22,168,151,17,138,130,8,7,2,5
18089,2,3,Indiana,Lake County,2,484564,425436,59128,353659,298164,55495,126487,123700,2787,3477,2539,938,5197,4877,320,400,219,181
18091,2,3,Indiana,LaPorte County,2,110106,106704,3402,97775,94627,3148,11977,11771,206,909,839,70,681,656,25,66,47,19
18093,2,3,Indiana,Lawrence County,2,45922,45506,416,45467,45064,403,231,228,3,331,318,13,200,197,3,17,17,0
18095,2,3,Indiana,Madison County,2,133358,131365,1993,121838,120001,1837,11162,11045,117,891,815,76,659,628,31,66,50,16
18097,2,3,Indiana,Marion County,2,860454,827164,33290,633850,603596,30254,216453,214010,2443,5850,5088,762,15234,14857,377,930,757,173
18099,2,3,Indiana,Marshall County,2,45128,42464,2664,44654,42070,2584,224,188,36,286,249,37,228,224,4,26,11,15
18101,2,3,Indiana,Martin County,2,10369,10327,42,10321,10279,42,30,30,0,43,43,0,26,26,0,4,4,0
18103,2,3,Indiana,Miami County,2,36082,35604,478,34419,33999,420,1236,1198,38,669,641,28,201,194,7,21,19,2
18105,2,3,Indiana,Monroe County,2,120563,118328,2235,112219,110118,2101,4285,4187,98,893,840,53,4757,4703,54,134,116,18
18107,2,3,Indiana,Montgomery County,2,37629,37018,611,37065,36468,597,370,361,9,198,195,3,221,218,3,20,15,5
18109,2,3,Indiana,Morgan County,2,66689,66199,490,66300,65829,471,113,109,4,438,424,14,236,227,9,21,19,2
18111,2,3,Indiana,Newton County,2,14566,14144,422,14446,14038,408,39,36,3,102,99,3,48,47,1,14,6,8
18113,2,3,Indiana,Noble County,2,46275,42976,3299,45769,42525,3244,242,219,23,295,262,33,229,214,15,25,15,10
18115,2,3,Indiana,Ohio County,2,5623,5598,25,5577,5553,24,36,36,0,20,19,1,15,13,2,1,1,0
18117,2,3,Indiana,Orange County,2,19306,19198,108,19079,18983,96,163,146,17,129,122,7,48,46,2,8,7,1
18119,2,3,Indiana,Owen County,2,21786,21622,164,21597,21452,145,91,88,3,182,167,15,61,57,4,10,4,6
18121,2,3,Indiana,Parke County,2,17241,17137,104,16781,16683,98,388,384,4,130,126,4,54,53,1,8,8,0
18123,2,3,Indiana,Perry County,2,18899,18766,133,18551,18425,126,303,300,3,77,73,4,37,36,1,11,11,0
18125,2,3,Indiana,Pike County,2,12837,12763,74,12785,12713,72,23,21,2,43,43,0,24,24,0,6,6,0
18127,2,3,Indiana,Porter County,2,146798,139719,7079,143568,136685,6883,1706,1582,124,972,829,143,1723,1676,47,111,86,25
18129,2,3,Indiana,Posey County,2,27061,26943,118,26705,26596,109,294,291,3,135,128,7,71,70,1,4,4,0
18131,2,3,Indiana,Pulaski County,2,13755,13564,191,13556,13375,181,143,138,5,82,78,4,44,43,1,9,2,7
18133,2,3,Indiana,Putnam County,2,36019,35607,412,34599,34234,365,1159,1138,21,248,221,27,267,259,8,33,29,4
18135,2,3,Indiana,Randolph County,2,27401,27068,333,27221,26898,323,118,108,10,148,144,4,86,84,2,12,11,1
18137,2,3,Indiana,Ripley County,2,26523,26276,247,26321,26077,244,31,31,0,146,143,3,123,123,0,10,10,0
18139,2,3,Indiana,Rush County,2,18261,18169,92,18032,17942,90,143,142,1,107,107,0,108,107,1,6,6,0
18141,2,3,Indiana,St. Joseph County,2,265559,253002,12557,229527,217857,11670,32962,32287,675,2317,2044,273,4506,4375,131,312,242,70
18143,2,3,Indiana,Scott County,2,22960,22738,222,22863,22649,214,32,29,3,98,97,1,67,62,5,2,2,0
18145,2,3,Indiana,Shelby County,2,43445,42948,497,42726,42265,461,417,403,14,225,206,19,306,300,6,28,18,10
18147,2,3,Indiana,Spencer County,2,20391,20088,303,20176,19889,287,144,131,13,100,92,8,64,61,3,2,1,1
18149,2,3,Indiana,Starke County,2,23556,23042,514,23379,22884,495,84,73,11,171,147,24,89,82,7,9,9,0
18151,2,3,Indiana,Steuben County,2,33214,32531,683,32816,32163,653,171,161,10,230,212,18,174,169,5,11,11,0
18153,2,3,Indiana,Sullivan County,2,21751,21572,179,20700,20542,158,983,981,2,168,153,15,54,53,1,11,7,4
18155,2,3,Indiana,Switzerland County,2,9065,8987,78,9021,8947,74,23,23,0,47,44,3,8,7,1,2,2,0
18157,2,3,Indiana,Tippecanoe County,2,148955,141121,7834,137766,130180,7586,4306,4183,123,987,849,138,7241,7181,60,157,123,34
18159,2,3,Indiana,Tipton County,2,16577,16376,201,16458,16269,189,37,36,1,74,61,13,72,71,1,15,15,0
18161,2,3,Indiana,Union County,2,7349,7327,22,7294,7273,21,22,22,0,34,33,1,20,20,0,7,7,0
18163,2,3,Indiana,Vanderburgh County,2,171922,170243,1679,155889,154384,1505,15192,15067,125,897,832,65,1651,1619,32,133,114,19
18165,2,3,Indiana,Vermillion County,2,16788,16681,107,16672,16570,102,61,60,1,122,117,5,45,39,6,9,9,0
18167,2,3,Indiana,Vigo County,2,105848,104573,1275,97650,96495,1155,7086,6990,96,788,743,45,1565,1550,15,85,75,10
18169,2,3,Indiana,Wabash County,2,34960,34546,414,34425,34030,395,190,186,4,366,354,12,168,164,4,19,16,3
18171,2,3,Indiana,Warren County,2,8419,8382,37,8383,8346,37,12,12,0,33,30,3,19,19,0,3,3,0
18173,2,3,Indiana,Warrick County,2,52383,52043,340,51410,51087,323,615,601,14,177,174,3,406,403,3,32,30,2
18175,2,3,Indiana,Washington County,2,27223,27023,200,27105,26907,198,48,48,0,149,143,6,63,62,1,4,4,0
18177,2,3,Indiana,Wayne County,2,71097,70126,971,66816,65926,890,4239,4175,64,439,416,23,489,471,18,54,47,7
