struction, extraction, maintenance, and repair occupations","24.0","+/-1.9","34.4","+/-5.1"
"400","Hispanic or Latino (of any race)",189,"Production, transportation, and material moving occupations","16.4","+/-1.8","21.6","+/-4.2"
"400","Hispanic or Latino (of any race)",190,"Female civilian employed population 16 years and over","171,516","+/-4,084","24,623","+/-2,353"
"400","Hispanic or Latino (of any race)",191,"Management, professional, and related occupations","32.1","+/-2.2","18.6","+/-3.8"
"400","His