0","10,600",-440,"10,122","9,854",268,,,
 ,Gross Imports (Excl SPR),,,"10,177","10,617",-440,"10,147","9,879",268,,,
 ,SPR Imports,,,0,0,0,0,0,0,,,
 ,Exports,,,17,17,0,25,25,0,,,
SPR Stocks W/D or Added ,,,,-90,-142,52,-123,-140,17,,,
Other Stocks W/D or Added ,,,,226,255,-29,-256,-204,-52,,,
Product Supplied and Losses,,,,0,0,0,0,0,0,,,
Unaccounted-for Crude Oil (3),,,,118,87,31,183,176,7,,,
,,,,,,,,,
Crude Oil Input to Refineries,,,,"15,955","16,341",-386,"15,396","15,273",123
,,,,,,,,,
Other S