.5","+/-2.6","5,978","+/-1,105","2.6","+/-3.3","1,794","+/-675","8.6","+/-14.2"
"S1702",5.0,"Black or African American","26,519","+/-2,162","1.7","+/-1.4","15,079","+/-1,536","0.3","+/-0.6","9,055","+/-1,530","4.5","+/-3.7"
"S1702",6.0,"American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N"
"S1702",7.0,"Asian","N","N","N","N","N","N","N","N","N","N","N","N"
"S1702",8.0,"Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N","N","N"
"S1702",9.0,"Some o